,Date_time,Ws_avg,P_avg
329,2017-05-15T07:20:00+02:00,1.67,0.0
330,2017-03-27T01:30:00+02:00,4.6199999,94.220001
331,2017-05-15T08:50:00+02:00,0.09,0.0
332,2017-04-28T03:50:00+02:00,6.2800002,398.28
333,2017-05-15T10:30:00+02:00,2.28,0.0
334,2017-05-13T14:20:00+02:00,6.9200001,546.19
335,2017-05-15T11:20:00+02:00,0.76,0.0
336,2017-04-15T11:20:00+02:00,7.8699999,856.85999
337,2017-05-15T15:00:00+02:00,1.22,0.0
338,2017-03-29T09:30:00+02:00,4.5100002,69.169998
339,2017-05-15T16:10:00+02:00,2.1,0.0
340,2017-04-29T02:30:00+02:00,4.27,44.400002
341,2017-05-15T17:40:00+02:00,1.63,0.0
342,2017-03-29T18:10:00+02:00,2.54,-0.11
343,2017-05-15T17:50:00+02:00,1.06,0.0
344,2017-04-29T06:30:00+02:00,0.95999998,-0.34
345,2017-05-18T11:30:00+02:00,4.47,76.44
346,2017-04-15T17:00:00+02:00,4.4400001,66.959999
347,2017-05-18T13:00:00+02:00,2.69,0.0
348,2017-04-03T10:50:00+02:00,4.71,75.580002
349,2017-05-18T13:20:00+02:00,3.56,6.59
350,2017-04-15T19:10:00+02:00,5.52,217.53999
351,2017-05-18T13:30:00+02:00,4.25,44.22
352,2017-04-05T11:50:00+02:00,4.98,97.980003
353,2017-05-18T14:00:00+02:00,2.47,0.0
354,2017-04-16T21:40:00+02:00,5.48,165.7
355,2017-05-18T16:00:00+02:00,5.36,125.83
356,2017-04-05T20:20:00+02:00,5.5700002,207.66
357,2017-05-18T16:40:00+02:00,5.1,121.46
358,2017-04-30T11:50:00+02:00,9.9099998,1280.29
359,2017-05-18T17:00:00+02:00,5.25,125.9
360,2017-04-06T06:10:00+02:00,6.0799999,372.44
361,2017-05-18T19:00:00+02:00,6.24,185.8
362,2017-04-06T18:00:00+02:00,4.8899999,130.82001
363,2017-05-18T19:30:00+02:00,6.84,502.51
364,2017-04-17T15:10:00+02:00,6.75,501.07001
365,2017-05-18T20:40:00+02:00,7.07,562.82
366,2017-04-10T00:20:00+02:00,3.8199999,24.9
367,2017-05-18T22:00:00+02:00,6.93,506.78
368,2017-04-17T22:50:00+02:00,5.8299999,284.47
369,2017-05-18T23:50:00+02:00,7.56,733.27
370,2017-04-10T15:20:00+02:00,8.4399996,927.01001
371,2017-05-19T03:00:00+02:00,6.62,532.49
372,2017-03-01T00:50:00+01:00,12.48,1934.29
373,2017-05-19T06:40:00+02:00,5.82,217.43
374,2017-04-11T08:20:00+02:00,4.6199999,89.0
375,2017-05-19T07:20:00+02:00,6.58,500.87
376,2017-05-01T09:30:00+02:00,6.0100002,346.48999
377,2017-05-19T08:50:00+02:00,6.95,477.33
378,2017-04-12T07:30:00+02:00,2.79,0.0
379,2017-05-19T11:30:00+02:00,5.8100000000000005,246.57
380,2017-03-01T16:40:00+01:00,10.97,1591.91
381,2017-05-19T13:30:00+02:00,4.84,117.62
382,2017-04-12T17:10:00+02:00,7.1700001,578.19
383,2017-05-19T13:40:00+02:00,5.11,152.63
384,2017-05-02T07:00:00+02:00,0.0,-0.11
385,2017-05-19T14:30:00+02:00,4.95,150.47
386,2017-04-15T03:30:00+02:00,4.5500002,78.160004
387,2017-05-19T14:40:00+02:00,3.74,52.33
388,2017-04-19T13:10:00+02:00,6.4000001,431.14999
389,2017-05-19T16:40:00+02:00,6.94,534.12
390,2017-04-17T02:40:00+02:00,7.2600002,752.97998
391,2017-05-19T16:50:00+02:00,5.82,302.14
392,2017-04-19T22:20:00+02:00,6.2600002,405.20999
393,2017-05-19T17:40:00+02:00,4.8,92.08
394,2017-04-17T07:50:00+02:00,7.1700001,626.12
395,2017-05-19T18:50:00+02:00,4.29,42.07
396,2017-04-20T01:50:00+02:00,6.5700002,536.57001
397,2017-05-19T21:10:00+02:00,5.74,270.63
398,2017-04-18T16:40:00+02:00,7.9400001,882.53003
399,2017-05-19T23:50:00+02:00,5.15,150.43
400,2017-04-20T16:40:00+02:00,4.46,61.740002
401,2017-05-20T06:20:00+02:00,5.7,265.43
402,2017-04-19T05:50:00+02:00,6.5599999,546.88
403,2017-05-20T06:40:00+02:00,5.5600000000000005,241.81
404,2017-04-21T02:10:00+02:00,1.92,-2.8
405,2017-05-20T08:20:00+02:00,4.8,124.12
406,2017-04-21T12:20:00+02:00,3.28,7.27
407,2017-05-20T20:50:00+02:00,4.45,73.36
408,2017-05-04T18:20:00+02:00,3.6099999,8.9499998
409,2017-05-21T02:20:00+02:00,0.0,0.0
410,2017-04-23T15:10:00+02:00,4.6399999,102.45
411,2017-05-21T03:50:00+02:00,3.12,0.0
412,2017-05-05T15:00:00+02:00,5.3400002,177.57001
413,2017-05-21T04:50:00+02:00,3.93,32.59
414,2017-04-24T16:20:00+02:00,4.1500001,33.299999
415,2017-05-21T08:30:00+02:00,5.22,157.41
416,2017-05-01T02:30:00+02:00,6.8800001,533.59998
417,2017-05-21T10:20:00+02:00,5.18,98.05
418,2017-05-01T04:30:00+02:00,7.23,677.31
419,2017-05-21T11:30:00+02:00,5.23,67.96
420,2017-04-25T00:20:00+02:00,4.8099999,109.83
421,2017-05-21T13:00:00+02:00,3.62,21.63
422,2017-05-08T04:50:00+02:00,5.4400001,247.34
423,2017-05-21T13:50:00+02:00,4.63,55.58
424,2017-04-25T06:30:00+02:00,6.04,369.70999
425,2017-05-21T16:20:00+02:00,3.47,3.3
426,2017-04-28T03:00:00+02:00,6.4000001,529.56
427,2017-05-21T17:30:00+02:00,4.49,74.87
428,2017-04-26T10:30:00+02:00,2.03,-0.31999999
429,2017-05-21T18:30:00+02:00,5.23,147.95
430,2017-05-06T11:20:00+02:00,5.79,286.41
431,2017-05-21T18:40:00+02:00,5.53,209.61
432,2017-04-27T16:10:00+02:00,2.8,-3.26
433,2017-05-21T19:50:00+02:00,5.66,230.38
434,2017-04-28T20:50:00+02:00,5.7600002,259.70001
435,2017-05-21T21:40:00+02:00,5.47,201.87
436,2017-04-28T02:00:00+02:00,6.6399999,466.73001
437,2017-05-22T01:20:00+02:00,4.88,133.03
438,2017-05-07T00:10:00+02:00,6.21,372.10999
439,2017-05-22T01:30:00+02:00,4.84,132.72
440,2017-03-24T03:30:00+01:00,4.7399998,105.42
441,2017-05-22T01:50:00+02:00,5.02,160.01
442,2017-05-07T07:40:00+02:00,5.3000002,186.59
443,2017-05-22T02:40:00+02:00,5.37,178.44
444,2017-03-17T09:20:00+01:00,6.3600001,348.98001
445,2017-05-22T03:50:00+02:00,4.85,96.93
446,2017-04-29T23:10:00+02:00,5.9299998,298.20001
447,2017-05-22T05:00:00+02:00,4.8,111.49
448,2017-03-24T13:00:00+01:00,8.1099997,871.44
449,2017-05-22T07:00:00+02:00,1.69,0.0
450,2017-03-17T13:40:00+01:00,5.5999999,204.64999
451,2017-05-17T11:20:00+02:00,4.84,83.44
452,2017-05-07T20:20:00+02:00,6.4499998,444.10999
453,2017-05-17T11:50:00+02:00,5.85,211.89
454,2017-03-18T07:00:00+01:00,10.57,1430.1801
455,2017-05-17T13:50:00+02:00,5.8100000000000005,222.74
456,2017-05-03T13:50:00+02:00,1.78,-0.99000001
457,2017-05-17T14:50:00+02:00,5.44,125.77
458,2017-05-13T19:40:00+02:00,6.8699999,530.78003
459,2017-05-17T16:20:00+02:00,6.51,301.43
460,2017-04-30T21:20:00+02:00,5.71,235.46001
461,2017-05-17T16:50:00+02:00,5.33,177.77
462,2017-05-04T03:00:00+02:00,2.77,-3.8
463,2017-05-17T17:40:00+02:00,5.24,167.77
464,2017-04-15T08:40:00+02:00,5.0599999,110.99
465,2017-05-17T18:40:00+02:00,5.82,222.35
466,2017-03-26T09:40:00+02:00,4.8600001,97.220001
467,2017-05-17T19:30:00+02:00,6.55,387.47
468,2017-04-15T21:00:00+02:00,6.1599998,419.34
469,2017-05-17T20:00:00+02:00,6.68,507.84
470,2017-03-26T19:30:00+02:00,4.9899998,92.239998
471,2017-05-17T21:00:00+02:00,7.0,525.28
472,2017-05-09T08:40:00+02:00,4.8299999,118.98
473,2017-05-17T22:40:00+02:00,7.24,654.89
474,2017-04-16T19:00:00+02:00,5.3099999,133.64999
475,2017-05-17T23:30:00+02:00,8.23,845.36
476,2017-04-17T16:20:00+02:00,6.6999998,495.59
477,2017-05-17T23:40:00+02:00,9.31,1197.89
478,2017-05-09T09:00:00+02:00,5.1100001,149.16
479,2017-05-18T01:50:00+02:00,6.74,485.25
480,2017-04-18T12:40:00+02:00,5.6500001,200.63
481,2017-05-18T02:00:00+02:00,5.36,178.15
482,2017-03-27T04:50:00+02:00,4.73,176.89
483,2017-05-18T03:20:00+02:00,5.35,197.44
484,2017-04-19T00:10:00+02:00,6.8000002,602.90997
485,2017-05-18T03:30:00+02:00,4.98,146.98
486,2017-05-01T18:20:00+02:00,4.6300001,69.660004
487,2017-05-18T03:40:00+02:00,4.78,109.07
488,2017-04-19T09:00:00+02:00,5.4899998,215.38
489,2017-05-18T04:50:00+02:00,4.85,85.45
490,2017-05-04T13:20:00+02:00,4.21,48.939999
491,2017-05-18T07:10:00+02:00,5.67,223.29
492,2017-04-12T09:40:00+02:00,5.5900002,171.67999
493,2017-05-18T09:00:00+02:00,4.29,32.99
494,2017-04-21T08:00:00+02:00,0.0,-1.3099999
495,2017-05-18T13:50:00+02:00,2.6,1.98
496,2017-04-12T10:20:00+02:00,5.4400001,163.39
497,2017-05-18T14:10:00+02:00,3.63,10.98
498,2017-04-21T12:10:00+02:00,4.1999998,24.209999
499,2017-05-18T15:20:00+02:00,6.17,332.76
500,2017-03-27T08:20:00+02:00,4.7399998,123.19
501,2017-05-18T17:50:00+02:00,4.18,39.24
502,2017-04-22T07:50:00+02:00,3.71,21.65
503,2017-05-18T18:10:00+02:00,3.58,5.51
504,2017-05-10T04:10:00+02:00,5.2800002,181.78
505,2017-05-18T18:50:00+02:00,5.01,108.87
506,2017-04-24T03:00:00+02:00,5.3499999,208.37
507,2017-05-18T23:20:00+02:00,9.41,1270.03
508,2017-03-18T17:20:00+01:00,7.96,822.06
509,2017-05-19T06:40:00+02:00,5.11,204.67
510,2017-05-14T15:20:00+02:00,5.4699998,231.61
511,2017-05-19T06:50:00+02:00,5.37,203.94
512,2017-05-02T02:10:00+02:00,3.6500001,26.16
513,2017-05-19T07:00:00+02:00,5.52,269.41
514,2017-03-28T06:50:00+02:00,5.3899999,183.66
515,2017-05-19T10:10:00+02:00,5.72,266.82
516,2017-03-19T21:40:00+01:00,6.3899999,442.54001
517,2017-05-19T11:10:00+02:00,5.59,226.12
518,2017-05-02T11:00:00+02:00,2.8599999,-2.0999999
519,2017-05-19T11:30:00+02:00,5.39,201.85
520,2017-05-02T12:30:00+02:00,0.36000001,-0.14
521,2017-05-19T12:40:00+02:00,5.63,200.82
522,2017-03-27T00:40:00+02:00,2.8699999,4.1399999
523,2017-05-19T13:00:00+02:00,5.25,139.96
524,2017-04-24T03:50:00+02:00,5.1900001,144.56
525,2017-05-19T15:00:00+02:00,3.49,2.56
526,2017-03-27T08:10:00+02:00,4.7399998,95.18
527,2017-05-19T16:20:00+02:00,7.41,728.99
528,2017-04-25T07:20:00+02:00,4.4000001,70.75
529,2017-05-19T17:50:00+02:00,4.32,44.99
530,2017-03-27T11:40:00+02:00,5.0500002,121.05
531,2017-05-19T18:30:00+02:00,5.97,335.57
532,2017-03-27T13:10:00+02:00,4.3499999,60.310001
533,2017-05-19T18:40:00+02:00,5.42,192.23
534,2017-04-25T23:20:00+02:00,2.5699999,-1.1
535,2017-05-19T21:20:00+02:00,6.52,516.01
536,2017-04-25T07:20:00+02:00,4.8299999,114.8
537,2017-05-19T22:00:00+02:00,5.71,195.95
538,2017-04-26T01:00:00+02:00,0.25999999,-0.12
539,2017-05-20T00:20:00+02:00,5.75,292.6
540,2017-03-21T18:50:00+01:00,0.0,-4.9400001
541,2017-05-20T00:50:00+02:00,6.27,424.09
542,2017-04-26T04:10:00+02:00,3.72,24.860001
543,2017-05-20T01:40:00+02:00,6.58,455.62
544,2017-03-21T21:50:00+01:00,0.87,-2.1800001
545,2017-05-20T02:10:00+02:00,5.64,270.42
546,2017-04-26T11:00:00+02:00,2.3900001,-1.3099999
547,2017-05-20T04:30:00+02:00,6.68,581.52
548,2017-04-26T12:20:00+02:00,5.6199999,233.96001
549,2017-05-20T04:50:00+02:00,6.4,468.74
550,2017-04-26T13:10:00+02:00,0.11,-0.34999999
551,2017-05-20T06:40:00+02:00,5.03,165.69
552,2017-03-22T15:20:00+01:00,4.5700002,85.230003
553,2017-05-20T06:50:00+02:00,5.97,335.7
554,2017-04-26T23:10:00+02:00,0.51999998,-0.11
555,2017-05-20T07:30:00+02:00,4.36,60.85
556,2017-04-26T17:00:00+02:00,5.3899999,190.33
557,2017-05-20T08:30:00+02:00,5.67,112.7
558,2017-04-28T17:10:00+02:00,4.8200002,112.33
559,2017-05-20T10:00:00+02:00,5.11,93.55
560,2017-03-24T06:50:00+01:00,5.9200001,277.03
561,2017-05-20T11:00:00+02:00,2.54,0.0
562,2017-05-12T07:00:00+02:00,5.1300001,160.17999
563,2017-05-20T11:10:00+02:00,2.7,0.0
564,2017-05-01T15:10:00+02:00,5.5900002,262.38
565,2017-05-20T11:20:00+02:00,1.92,0.0
566,2017-05-12T22:00:00+02:00,7.3200002,637.23999
567,2017-05-20T12:20:00+02:00,2.43,0.0
568,2017-05-04T17:40:00+02:00,2.3599999,-0.99000001
569,2017-05-20T13:50:00+02:00,3.63,5.96
570,2017-05-13T03:30:00+02:00,5.4099998,190.16
571,2017-05-20T14:20:00+02:00,2.19,0.0
572,2017-05-05T23:10:00+02:00,5.2800002,186.03
573,2017-05-20T14:30:00+02:00,3.5700000000000003,3.97
574,2017-05-13T07:50:00+02:00,4.2199998,49.200001
575,2017-05-20T15:20:00+02:00,2.33,0.0
576,2017-05-06T02:50:00+02:00,5.1399999,160.99001
577,2017-05-20T16:30:00+02:00,0.38,0.0
578,2017-05-13T12:40:00+02:00,3.6300001,5.4499998
579,2017-05-20T18:50:00+02:00,0.0,0.0
580,2017-05-06T17:50:00+02:00,4.8299999,112.0
581,2017-05-20T19:00:00+02:00,0.0,0.0
582,2017-05-13T14:40:00+02:00,6.75,535.59998
583,2017-05-20T19:50:00+02:00,2.8,0.0
584,2017-05-13T19:00:00+02:00,6.1799998,315.42999
585,2017-05-20T22:40:00+02:00,3.29,2.42
586,2017-05-13T21:30:00+02:00,4.8299999,116.8
587,2017-05-21T01:40:00+02:00,0.13,0.0
588,2017-05-13T23:40:00+02:00,5.9299998,317.54001
589,2017-05-21T03:50:00+02:00,3.35,0.0
590,2017-05-08T16:40:00+02:00,1.54,-3.01
591,2017-05-21T05:00:00+02:00,3.89,44.65
592,2017-05-14T04:30:00+02:00,7.800000199999999,853.27002
593,2017-05-21T05:10:00+02:00,3.66,21.08
594,2017-05-10T00:10:00+02:00,5.6799998,261.20001
595,2017-05-21T05:20:00+02:00,4.0,30.34
596,2017-05-14T22:00:00+02:00,4.0999999,44.299999
597,2017-05-21T05:50:00+02:00,4.85,70.35
598,2017-05-10T03:40:00+02:00,5.75,280.79999
599,2017-05-21T08:20:00+02:00,6.13,276.94
600,2017-01-01T01:50:00+01:00,4.7199998,92.489998
601,2017-05-21T09:10:00+02:00,5.18,166.97
602,2017-05-10T18:50:00+02:00,5.1999998,124.43
603,2017-05-21T11:20:00+02:00,4.16,28.59
604,2017-01-01T01:40:00+01:00,5.0300002,112.94
605,2017-05-21T13:00:00+02:00,4.51,17.77
606,2017-05-11T01:20:00+02:00,7.5,707.19
607,2017-05-21T13:40:00+02:00,3.39,44.78
608,2017-01-01T06:50:00+01:00,2.6500001,-1.9
609,2017-05-21T14:00:00+02:00,5.77,189.28
610,2017-05-11T22:40:00+02:00,6.79,546.78003
611,2017-05-21T15:30:00+02:00,5.66,177.2
612,2017-05-12T03:40:00+02:00,6.4299998,451.88
613,2017-05-21T16:20:00+02:00,4.47,27.66
614,2017-01-01T03:10:00+01:00,3.8099999,23.42
615,2017-05-21T18:00:00+02:00,4.71,69.12
616,2017-01-01T09:20:00+01:00,4.5100002,72.239998
617,2017-05-21T20:30:00+02:00,5.8,300.13
618,2017-05-12T12:50:00+02:00,5.6599998,-0.31
619,2017-05-21T21:40:00+02:00,6.03,374.05
620,2017-01-01T10:00:00+01:00,4.77,91.449997
621,2017-05-21T22:40:00+02:00,5.93,322.18
622,2017-05-12T20:20:00+02:00,6.5700002,439.57001
623,2017-05-21T23:30:00+02:00,5.18,175.32
624,2017-01-01T11:20:00+01:00,4.73,129.81
625,2017-05-22T01:10:00+02:00,5.76,262.06
626,2017-05-12T21:20:00+02:00,6.6700001,448.51999
627,2017-05-22T02:20:00+02:00,6.11,295.8
628,2017-01-01T16:10:00+01:00,4.9400001,239.28
629,2017-05-22T03:10:00+02:00,5.51,235.68
630,2017-05-13T06:50:00+02:00,4.5999999,60.700001
631,2017-05-22T08:00:00+02:00,3.72,18.13
632,2017-01-01T13:00:00+01:00,4.6399999,183.52
633,2017-05-22T08:10:00+02:00,3.56,4.41
634,2017-01-01T08:40:00+01:00,4.9200001,152.78
635,2017-05-22T08:20:00+02:00,3.8,0.0
636,2017-01-01T04:40:00+01:00,3.96,35.709999
637,2017-05-22T09:30:00+02:00,4.47,70.43
638,2017-01-01T05:40:00+01:00,4.6700001,65.110001
639,2017-05-22T11:10:00+02:00,3.93,15.2
640,2017-01-01T20:20:00+01:00,3.8,55.139999
641,2017-05-22T12:10:00+02:00,2.98,29.55
642,2017-01-01T21:40:00+01:00,2.8399999,33.450001
643,2017-05-22T13:00:00+02:00,1.82,0.0
644,2017-03-15T15:20:00+01:00,4.6599998,82.980003
645,2017-01-01T09:10:00+01:00,5.3200002,253.41
646,2017-05-22T13:40:00+02:00,2.88,0.0
647,2017-10-19T07:00:00+02:00,6.31,357.81
648,2017-01-01T15:50:00+01:00,5.1700001,303.67001
649,2017-05-22T15:00:00+02:00,0.47,0.0
650,2017-10-19T07:20:00+02:00,7.33,607.08
651,2017-01-01T12:00:00+01:00,6.0700002,546.62
652,2017-05-22T17:20:00+02:00,3.55,1.86
653,2017-03-16T17:20:00+01:00,2.25,-1.04
654,2017-01-01T18:50:00+01:00,4.71,139.07001
655,2017-05-22T18:00:00+02:00,1.41,0.0
656,2017-02-03T18:20:00+01:00,10.62,1531.22
657,2017-01-02T03:30:00+01:00,1.39,-1.28
658,2017-05-22T18:10:00+02:00,0.09,0.0
659,2017-10-19T09:30:00+02:00,5.11,119.03
660,2017-03-27T06:10:00+02:00,4.6100001,90.660004
661,2017-05-22T19:20:00+02:00,2.24,0.0
662,2017-10-19T10:10:00+02:00,5.76,222.48
663,2017-01-02T05:20:00+01:00,1.09,-0.50999999
664,2017-05-22T19:40:00+02:00,2.69,0.0
